MatchType,Percentage,Category
STRICT,0.00,hit
STRICT,100.00,miss
SUPERSET,72.87,hit
SUPERSET,27.13,miss
SUPERSET,73.15,hit
SUPERSET,26.85,miss
SUPERSET,73.56,hit
SUPERSET,26.44,miss
SUPERSET,73.72,hit
SUPERSET,26.28,miss
SUPERSET,75.99,hit
SUPERSET,24.01,miss
SUPERSET,76.89,hit
SUPERSET,23.11,miss
SUPERSET,77.78,hit
SUPERSET,22.22,miss
SUPERSET,78.55,hit
SUPERSET,21.45,miss
SUPERSET,78.67,hit
SUPERSET,21.33,miss
SUPERSET,79.59,hit
SUPERSET,20.41,miss
SUPERSET_NO_TYPES,72.87,hit
SUPERSET_NO_TYPES,27.13,miss
SUPERSET_NO_TYPES,73.15,hit
SUPERSET_NO_TYPES,26.85,miss
SUPERSET_NO_TYPES,73.56,hit
SUPERSET_NO_TYPES,26.44,miss
SUPERSET_NO_TYPES,73.72,hit
SUPERSET_NO_TYPES,26.28,miss
SUPERSET_NO_TYPES,75.99,hit
SUPERSET_NO_TYPES,24.01,miss
SUPERSET_NO_TYPES,76.89,hit
SUPERSET_NO_TYPES,23.11,miss
SUPERSET_NO_TYPES,77.78,hit
SUPERSET_NO_TYPES,22.22,miss
SUPERSET_NO_TYPES,78.55,hit
SUPERSET_NO_TYPES,21.45,miss
SUPERSET_NO_TYPES,78.67,hit
SUPERSET_NO_TYPES,21.33,miss
SUPERSET_NO_TYPES,79.59,hit
SUPERSET_NO_TYPES,20.41,miss
SUBSET,71.99,hit
SUBSET,28.01,miss
SUBSET,73.31,hit
SUBSET,26.69,miss
SUBSET,74.13,hit
SUBSET,25.87,miss
SUBSET,74.43,hit
SUBSET,25.57,miss
SUBSET,75.76,hit
SUBSET,24.24,miss
SUBSET,76.25,hit
SUBSET,23.75,miss
SUBSET,76.93,hit
SUBSET,23.07,miss
SUBSET,76.99,hit
SUBSET,23.01,miss
SUBSET,77.25,hit
SUBSET,22.75,miss
SUBSET,79.07,hit
SUBSET,20.93,miss
SUBSET_NO_TYPES,71.99,hit
SUBSET_NO_TYPES,28.01,miss
SUBSET_NO_TYPES,73.31,hit
SUBSET_NO_TYPES,26.69,miss
SUBSET_NO_TYPES,74.13,hit
SUBSET_NO_TYPES,25.87,miss
SUBSET_NO_TYPES,74.43,hit
SUBSET_NO_TYPES,25.57,miss
SUBSET_NO_TYPES,75.76,hit
SUBSET_NO_TYPES,24.24,miss
SUBSET_NO_TYPES,76.25,hit
SUBSET_NO_TYPES,23.75,miss
SUBSET_NO_TYPES,76.93,hit
SUBSET_NO_TYPES,23.07,miss
SUBSET_NO_TYPES,76.99,hit
SUBSET_NO_TYPES,23.01,miss
SUBSET_NO_TYPES,77.25,hit
SUBSET_NO_TYPES,22.75,miss
SUBSET_NO_TYPES,79.07,hit
SUBSET_NO_TYPES,20.93,miss
ONE,78.45,hit
ONE,21.55,miss
ONE,78.63,hit
ONE,21.37,miss
ONE,79.06,hit
ONE,20.94,miss
ONE,79.44,hit
ONE,20.56,miss
ONE,81.61,hit
ONE,18.39,miss
ONE,82.10,hit
ONE,17.90,miss
ONE,82.81,hit
ONE,17.19,miss
ONE,82.84,hit
ONE,17.16,miss
ONE,83.15,hit
ONE,16.85,miss
ONE,83.61,hit
ONE,16.39,miss
ONE_NO_TYPES,78.45,hit
ONE_NO_TYPES,21.55,miss
ONE_NO_TYPES,78.63,hit
ONE_NO_TYPES,21.37,miss
ONE_NO_TYPES,79.06,hit
ONE_NO_TYPES,20.94,miss
ONE_NO_TYPES,79.44,hit
ONE_NO_TYPES,20.56,miss
ONE_NO_TYPES,81.61,hit
ONE_NO_TYPES,18.39,miss
ONE_NO_TYPES,82.10,hit
ONE_NO_TYPES,17.90,miss
ONE_NO_TYPES,82.81,hit
ONE_NO_TYPES,17.19,miss
ONE_NO_TYPES,82.84,hit
ONE_NO_TYPES,17.16,miss
ONE_NO_TYPES,83.15,hit
ONE_NO_TYPES,16.85,miss
ONE_NO_TYPES,83.61,hit
ONE_NO_TYPES,16.39,miss
