MatchType,Percentage,Category
STRICT,0.00,hit
STRICT,100.00,miss
SUPERSET,53.56,hit
SUPERSET,46.44,miss
SUPERSET,54.48,hit
SUPERSET,45.52,miss
SUPERSET,54.53,hit
SUPERSET,45.47,miss
SUPERSET,55.39,hit
SUPERSET,44.61,miss
SUPERSET,55.81,hit
SUPERSET,44.19,miss
SUPERSET,55.95,hit
SUPERSET,44.05,miss
SUPERSET,56.00,hit
SUPERSET,44.00,miss
SUPERSET,56.33,hit
SUPERSET,43.67,miss
SUPERSET,57.40,hit
SUPERSET,42.60,miss
SUPERSET,58.09,hit
SUPERSET,41.91,miss
SUPERSET_NO_TYPES,53.56,hit
SUPERSET_NO_TYPES,46.44,miss
SUPERSET_NO_TYPES,54.48,hit
SUPERSET_NO_TYPES,45.52,miss
SUPERSET_NO_TYPES,54.53,hit
SUPERSET_NO_TYPES,45.47,miss
SUPERSET_NO_TYPES,55.39,hit
SUPERSET_NO_TYPES,44.61,miss
SUPERSET_NO_TYPES,55.81,hit
SUPERSET_NO_TYPES,44.19,miss
SUPERSET_NO_TYPES,55.95,hit
SUPERSET_NO_TYPES,44.05,miss
SUPERSET_NO_TYPES,56.00,hit
SUPERSET_NO_TYPES,44.00,miss
SUPERSET_NO_TYPES,56.33,hit
SUPERSET_NO_TYPES,43.67,miss
SUPERSET_NO_TYPES,57.40,hit
SUPERSET_NO_TYPES,42.60,miss
SUPERSET_NO_TYPES,58.09,hit
SUPERSET_NO_TYPES,41.91,miss
SUBSET,55.00,hit
SUBSET,45.00,miss
SUBSET,55.11,hit
SUBSET,44.89,miss
SUBSET,55.34,hit
SUBSET,44.66,miss
SUBSET,55.70,hit
SUBSET,44.30,miss
SUBSET,55.88,hit
SUBSET,44.12,miss
SUBSET,56.37,hit
SUBSET,43.63,miss
SUBSET,56.65,hit
SUBSET,43.35,miss
SUBSET,57.14,hit
SUBSET,42.86,miss
SUBSET,57.39,hit
SUBSET,42.61,miss
SUBSET,57.61,hit
SUBSET,42.39,miss
SUBSET_NO_TYPES,55.00,hit
SUBSET_NO_TYPES,45.00,miss
SUBSET_NO_TYPES,55.11,hit
SUBSET_NO_TYPES,44.89,miss
SUBSET_NO_TYPES,55.34,hit
SUBSET_NO_TYPES,44.66,miss
SUBSET_NO_TYPES,55.70,hit
SUBSET_NO_TYPES,44.30,miss
SUBSET_NO_TYPES,55.88,hit
SUBSET_NO_TYPES,44.12,miss
SUBSET_NO_TYPES,56.37,hit
SUBSET_NO_TYPES,43.63,miss
SUBSET_NO_TYPES,56.65,hit
SUBSET_NO_TYPES,43.35,miss
SUBSET_NO_TYPES,57.14,hit
SUBSET_NO_TYPES,42.86,miss
SUBSET_NO_TYPES,57.39,hit
SUBSET_NO_TYPES,42.61,miss
SUBSET_NO_TYPES,57.61,hit
SUBSET_NO_TYPES,42.39,miss
ONE,65.47,hit
ONE,34.53,miss
ONE,65.92,hit
ONE,34.08,miss
ONE,66.55,hit
ONE,33.45,miss
ONE,67.00,hit
ONE,33.00,miss
ONE,67.74,hit
ONE,32.26,miss
ONE,67.81,hit
ONE,32.19,miss
ONE,68.22,hit
ONE,31.78,miss
ONE,68.26,hit
ONE,31.74,miss
ONE,68.62,hit
ONE,31.38,miss
ONE,69.24,hit
ONE,30.76,miss
ONE_NO_TYPES,65.47,hit
ONE_NO_TYPES,34.53,miss
ONE_NO_TYPES,65.92,hit
ONE_NO_TYPES,34.08,miss
ONE_NO_TYPES,66.55,hit
ONE_NO_TYPES,33.45,miss
ONE_NO_TYPES,67.00,hit
ONE_NO_TYPES,33.00,miss
ONE_NO_TYPES,67.74,hit
ONE_NO_TYPES,32.26,miss
ONE_NO_TYPES,67.81,hit
ONE_NO_TYPES,32.19,miss
ONE_NO_TYPES,68.22,hit
ONE_NO_TYPES,31.78,miss
ONE_NO_TYPES,68.26,hit
ONE_NO_TYPES,31.74,miss
ONE_NO_TYPES,68.62,hit
ONE_NO_TYPES,31.38,miss
ONE_NO_TYPES,69.24,hit
ONE_NO_TYPES,30.76,miss
