MatchType,Percentage,Category
STRICT,0.00,hit
STRICT,100.00,miss
SUPERSET,94.97,hit
SUPERSET,5.03,miss
SUPERSET,95.97,hit
SUPERSET,4.03,miss
SUPERSET,95.97,hit
SUPERSET,4.03,miss
SUPERSET,96.64,hit
SUPERSET,3.36,miss
SUPERSET,97.32,hit
SUPERSET,2.68,miss
SUPERSET,97.32,hit
SUPERSET,2.68,miss
SUPERSET,97.32,hit
SUPERSET,2.68,miss
SUPERSET,97.65,hit
SUPERSET,2.35,miss
SUPERSET,97.65,hit
SUPERSET,2.35,miss
SUPERSET,97.99,hit
SUPERSET,2.01,miss
SUPERSET_NO_TYPES,94.97,hit
SUPERSET_NO_TYPES,5.03,miss
SUPERSET_NO_TYPES,95.97,hit
SUPERSET_NO_TYPES,4.03,miss
SUPERSET_NO_TYPES,95.97,hit
SUPERSET_NO_TYPES,4.03,miss
SUPERSET_NO_TYPES,96.64,hit
SUPERSET_NO_TYPES,3.36,miss
SUPERSET_NO_TYPES,97.32,hit
SUPERSET_NO_TYPES,2.68,miss
SUPERSET_NO_TYPES,97.32,hit
SUPERSET_NO_TYPES,2.68,miss
SUPERSET_NO_TYPES,97.32,hit
SUPERSET_NO_TYPES,2.68,miss
SUPERSET_NO_TYPES,97.65,hit
SUPERSET_NO_TYPES,2.35,miss
SUPERSET_NO_TYPES,97.65,hit
SUPERSET_NO_TYPES,2.35,miss
SUPERSET_NO_TYPES,97.99,hit
SUPERSET_NO_TYPES,2.01,miss
SUBSET,94.97,hit
SUBSET,5.03,miss
SUBSET,95.97,hit
SUBSET,4.03,miss
SUBSET,95.97,hit
SUBSET,4.03,miss
SUBSET,96.64,hit
SUBSET,3.36,miss
SUBSET,97.32,hit
SUBSET,2.68,miss
SUBSET,97.32,hit
SUBSET,2.68,miss
SUBSET,97.32,hit
SUBSET,2.68,miss
SUBSET,97.65,hit
SUBSET,2.35,miss
SUBSET,97.65,hit
SUBSET,2.35,miss
SUBSET,97.99,hit
SUBSET,2.01,miss
SUBSET_NO_TYPES,94.97,hit
SUBSET_NO_TYPES,5.03,miss
SUBSET_NO_TYPES,95.97,hit
SUBSET_NO_TYPES,4.03,miss
SUBSET_NO_TYPES,95.97,hit
SUBSET_NO_TYPES,4.03,miss
SUBSET_NO_TYPES,96.64,hit
SUBSET_NO_TYPES,3.36,miss
SUBSET_NO_TYPES,97.32,hit
SUBSET_NO_TYPES,2.68,miss
SUBSET_NO_TYPES,97.32,hit
SUBSET_NO_TYPES,2.68,miss
SUBSET_NO_TYPES,97.32,hit
SUBSET_NO_TYPES,2.68,miss
SUBSET_NO_TYPES,97.65,hit
SUBSET_NO_TYPES,2.35,miss
SUBSET_NO_TYPES,97.65,hit
SUBSET_NO_TYPES,2.35,miss
SUBSET_NO_TYPES,97.99,hit
SUBSET_NO_TYPES,2.01,miss
ONE,94.97,hit
ONE,5.03,miss
ONE,95.97,hit
ONE,4.03,miss
ONE,95.97,hit
ONE,4.03,miss
ONE,96.64,hit
ONE,3.36,miss
ONE,97.32,hit
ONE,2.68,miss
ONE,97.32,hit
ONE,2.68,miss
ONE,97.32,hit
ONE,2.68,miss
ONE,97.65,hit
ONE,2.35,miss
ONE,97.65,hit
ONE,2.35,miss
ONE,97.99,hit
ONE,2.01,miss
ONE_NO_TYPES,94.97,hit
ONE_NO_TYPES,5.03,miss
ONE_NO_TYPES,95.97,hit
ONE_NO_TYPES,4.03,miss
ONE_NO_TYPES,95.97,hit
ONE_NO_TYPES,4.03,miss
ONE_NO_TYPES,96.64,hit
ONE_NO_TYPES,3.36,miss
ONE_NO_TYPES,97.32,hit
ONE_NO_TYPES,2.68,miss
ONE_NO_TYPES,97.32,hit
ONE_NO_TYPES,2.68,miss
ONE_NO_TYPES,97.32,hit
ONE_NO_TYPES,2.68,miss
ONE_NO_TYPES,97.65,hit
ONE_NO_TYPES,2.35,miss
ONE_NO_TYPES,97.65,hit
ONE_NO_TYPES,2.35,miss
ONE_NO_TYPES,97.99,hit
ONE_NO_TYPES,2.01,miss
