MatchType,Percentage,Category
STRICT,0.00,ORIGINAL
SUPERSET,0.00,ORIGINAL
SUPERSET_NO_TYPES,97.00,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,97.00,ORIGINAL
ONE,38.33,ORIGINAL
ONE_NO_TYPES,97.00,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,0.33,ORIGINAL
SUPERSET_NO_TYPES,97.33,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,97.33,ORIGINAL
ONE,37.33,ORIGINAL
ONE_NO_TYPES,97.33,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,0.33,ORIGINAL
SUPERSET_NO_TYPES,98.00,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,98.00,ORIGINAL
ONE,36.67,ORIGINAL
ONE_NO_TYPES,98.00,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,1.00,ORIGINAL
SUPERSET_NO_TYPES,95.67,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,95.67,ORIGINAL
ONE,39.67,ORIGINAL
ONE_NO_TYPES,95.67,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,0.33,ORIGINAL
SUPERSET_NO_TYPES,96.67,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,96.67,ORIGINAL
ONE,41.00,ORIGINAL
ONE_NO_TYPES,96.67,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,1.00,ORIGINAL
SUPERSET_NO_TYPES,97.67,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,97.67,ORIGINAL
ONE,39.33,ORIGINAL
ONE_NO_TYPES,97.67,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,0.67,ORIGINAL
SUPERSET_NO_TYPES,96.33,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,96.33,ORIGINAL
ONE,41.00,ORIGINAL
ONE_NO_TYPES,96.33,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,0.67,ORIGINAL
SUPERSET_NO_TYPES,96.00,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,96.00,ORIGINAL
ONE,37.67,ORIGINAL
ONE_NO_TYPES,96.00,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,0.33,ORIGINAL
SUPERSET_NO_TYPES,98.00,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,98.00,ORIGINAL
ONE,37.33,ORIGINAL
ONE_NO_TYPES,98.00,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,ORIGINAL
SUPERSET,1.67,ORIGINAL
SUPERSET_NO_TYPES,96.33,ORIGINAL
SUBSET,0.00,ORIGINAL
SUBSET_NO_TYPES,96.33,ORIGINAL
ONE,43.00,ORIGINAL
ONE_NO_TYPES,96.33,ORIGINAL
ACCESSION,100.00,ORIGINAL
STRICT,0.00,OTHERS
SUPERSET,8.03,OTHERS
SUPERSET_NO_TYPES,52.91,OTHERS
SUBSET,0.00,OTHERS
SUBSET_NO_TYPES,53.31,OTHERS
ONE,21.41,OTHERS
ONE_NO_TYPES,62.53,OTHERS
ACCESSION,100.00,OTHERS
STRICT,0.00,OTHERS
SUPERSET,6.63,OTHERS
SUPERSET_NO_TYPES,52.64,OTHERS
SUBSET,0.00,OTHERS
SUBSET_NO_TYPES,56.56,OTHERS
ONE,25.36,OTHERS
ONE_NO_TYPES,65.90,OTHERS
ACCESSION,100.00,OTHERS
STRICT,0.00,OTHERS
SUPERSET,8.00,OTHERS
SUPERSET_NO_TYPES,52.03,OTHERS
SUBSET,0.00,OTHERS
SUBSET_NO_TYPES,54.13,OTHERS
ONE,24.51,OTHERS
ONE_NO_TYPES,63.97,OTHERS
ACCESSION,100.00,OTHERS
STRICT,0.00,OTHERS
SUPERSET,8.22,OTHERS
SUPERSET_NO_TYPES,57.38,OTHERS
SUBSET,0.00,OTHERS
SUBSET_NO_TYPES,61.61,OTHERS
ONE,27.89,OTHERS
ONE_NO_TYPES,70.99,OTHERS
ACCESSION,100.00,OTHERS
STRICT,0.00,OTHERS
SUPERSET,7.70,OTHERS
SUPERSET_NO_TYPES,52.84,OTHERS
SUBSET,0.00,OTHERS
SUBSET_NO_TYPES,54.25,OTHERS
ONE,21.01,OTHERS
ONE_NO_TYPES,63.61,OTHERS
ACCESSION,100.00,OTHERS
STRICT,0.00,OTHERS
